i getaccept E*A dH rho ddH Q
135 1 4.784782490710219e-01 1.204290119183327e-06 1.000000000000000e+00 NA -0.000000000000000e+00
136 1 4.785942623182409e-01 1.320214701472366e-05 1.000000000000000e+00 NA -0.000000000000000e+00
137 1 4.728803179176437e-01 3.403156675396701e-05 1.000000000000000e+00 NA -0.000000000000000e+00
138 1 4.702070588765682e-01 2.852152011456610e-06 1.000000000000000e+00 NA -0.000000000000000e+00
139 1 4.718811503594890e-01 4.409413289607755e-06 1.000000000000000e+00 NA -0.000000000000000e+00
140 1 4.691994176379833e-01 -2.524172103512967e-05 1.000000000000000e+00 NA -0.000000000000000e+00
141 1 4.625353610771095e-01 7.746706102995660e-05 1.000000000000000e+00 NA -0.000000000000000e+00
142 1 4.662625964253588e-01 -1.337648049481999e-05 1.000000000000000e+00 NA -0.000000000000000e+00
143 1 4.734888570631512e-01 -6.915235408300191e-05 1.000000000000000e+00 NA -0.000000000000000e+00
144 1 4.810710603208301e-01 -9.663407421189874e-05 1.000000000000000e+00 NA -0.000000000000000e+00
145 1 4.688881217156661e-01 1.486659528628920e-04 1.000000000000000e+00 NA -0.000000000000000e+00
146 1 4.718824841450776e-01 -2.047758253453935e-05 1.000000000000000e+00 NA -0.000000000000000e+00
147 1 4.806130727906375e-01 -7.789582117911920e-05 1.000000000000000e+00 NA -0.000000000000000e+00
148 1 4.839010329643080e-01 5.890562931121224e-05 1.000000000000000e+00 NA -0.000000000000000e+00
149 1 4.833451307750486e-01 -2.916305021916088e-05 1.000000000000000e+00 NA -0.000000000000000e+00
150 1 4.748310249919735e-01 1.350131234154617e-04 1.000000000000000e+00 NA -0.000000000000000e+00
151 1 4.788611920021839e-01 3.141765180014744e-05 1.000000000000000e+00 NA -0.000000000000000e+00
152 1 4.792063195647189e-01 -4.416204997248485e-06 1.000000000000000e+00 NA -0.000000000000000e+00
153 1 4.852339475038637e-01 -4.575773801018812e-05 1.000000000000000e+00 NA -0.000000000000000e+00
154 1 4.804685799794239e-01 5.749096956275679e-05 1.000000000000000e+00 NA -0.000000000000000e+00
155 1 4.671077869394916e-01 8.290422780543594e-05 1.000000000000000e+00 NA -0.000000000000000e+00
156 1 4.729898280310687e-01 2.481353378147588e-05 1.000000000000000e+00 NA -0.000000000000000e+00
157 1 4.716290748575232e-01 3.598394996817689e-05 1.000000000000000e+00 NA -0.000000000000000e+00
158 1 4.766167461090612e-01 -5.347615433759501e-05 1.000000000000000e+00 NA -0.000000000000000e+00
159 1 4.737302147169845e-01 9.252863844988468e-05 1.000000000000000e+00 NA -0.000000000000000e+00
160 1 4.746321790884512e-01 -3.033354333936700e-05 1.000000000000000e+00 NA -0.000000000000000e+00
161 1 4.682385682648549e-01 1.215017103666227e-04 1.000000000000000e+00 NA -0.000000000000000e+00
162 1 4.734718953887477e-01 -2.045157101449036e-05 1.000000000000000e+00 NA -0.000000000000000e+00
163 1 4.770736561266699e-01 -7.031118131362035e-05 1.000000000000000e+00 NA -0.000000000000000e+00
164 1 4.782781839606308e-01 -3.155257205822437e-05 1.000000000000000e+00 NA -0.000000000000000e+00
165 1 4.852545743182102e-01 -9.598054761905672e-05 1.000000000000000e+00 NA -0.000000000000000e+00
166 1 4.778571579272589e-01 5.959878228178894e-05 1.000000000000000e+00 NA -0.000000000000000e+00
167 1 4.762297570993996e-01 3.547752766230872e-06 1.000000000000000e+00 NA -0.000000000000000e+00
168 1 4.738674178556933e-01 4.160329316960087e-05 1.000000000000000e+00 NA -0.000000000000000e+00
169 1 4.788500054255818e-01 -1.472098216313000e-04 1.000000000000000e+00 NA -0.000000000000000e+00
170 1 4.712419891936577e-01 9.908031173377907e-05 1.000000000000000e+00 NA -0.000000000000000e+00
171 1 4.769265317778032e-01 -7.273533093066220e-05 1.000000000000000e+00 NA -0.000000000000000e+00
172 1 4.825817301336069e-01 -3.412990508522284e-05 1.000000000000000e+00 NA -0.000000000000000e+00
173 1 4.741362482890755e-01 1.651379838847333e-04 1.000000000000000e+00 NA -0.000000000000000e+00
174 1 4.652309295638787e-01 1.288462617381469e-04 1.000000000000000e+00 NA -0.000000000000000e+00
175 1 4.748412716743085e-01 -7.706994486245122e-05 1.000000000000000e+00 NA -0.000000000000000e+00
176 1 4.901953524530106e-01 -1.225725047042658e-04 1.000000000000000e+00 NA -0.000000000000000e+00
177 1 4.826620792662171e-01 7.645984399839989e-05 1.000000000000000e+00 NA -0.000000000000000e+00
178 1 4.868874741789791e-01 -6.379792757105207e-05 1.000000000000000e+00 NA -0.000000000000000e+00
179 1 4.840429259615369e-01 9.407802068928106e-06 1.000000000000000e+00 NA -0.000000000000000e+00
180 1 4.717303018817754e-01 1.068584385048865e-04 1.000000000000000e+00 NA -0.000000000000000e+00
181 1 4.782302417568254e-01 -1.104652683343588e-04 1.000000000000000e+00 NA -0.000000000000000e+00
182 1 4.806072212494491e-01 -8.820779095231046e-05 1.000000000000000e+00 NA -0.000000000000000e+00
183 1 4.688328584951226e-01 1.531252786834969e-04 1.000000000000000e+00 NA -0.000000000000000e+00
184 1 4.809864946198739e-01 -9.689140652202610e-05 1.000000000000000e+00 NA -0.000000000000000e+00
185 1 4.791971465213629e-01 -4.432383474206603e-05 1.000000000000000e+00 NA -0.000000000000000e+00
186 1 4.809631628532662e-01 -1.945018788873654e-05 1.000000000000000e+00 NA -0.000000000000000e+00
187 1 4.779343860449106e-01 1.997077301485461e-05 1.000000000000000e+00 NA -0.000000000000000e+00
188 1 4.803001921348007e-01 -1.855550122353833e-05 1.000000000000000e+00 NA -0.000000000000000e+00
189 1 4.869493439606203e-01 -4.214799305390926e-05 1.000000000000000e+00 NA -0.000000000000000e+00
190 1 4.792513296448211e-01 9.310932151063156e-05 1.000000000000000e+00 NA -0.000000000000000e+00
191 1 4.869034163675597e-01 9.918371667083647e-06 1.000000000000000e+00 NA -0.000000000000000e+00
192 1 4.841425512081444e-01 4.613673474906932e-05 1.000000000000000e+00 NA -0.000000000000000e+00
193 1 4.886060171546792e-01 4.191325351587949e-05 1.000000000000000e+00 NA -0.000000000000000e+00
194 1 4.834824333336654e-01 5.345550001578658e-05 1.000000000000000e+00 NA -0.000000000000000e+00
195 1 4.887290511370684e-01 -5.480311738281785e-05 1.000000000000000e+00 NA -0.000000000000000e+00
196 1 4.802260998773560e-01 1.395621625954746e-04 1.000000000000000e+00 NA -0.000000000000000e+00
197 1 4.786983357389361e-01 -3.249302879826388e-05 1.000000000000000e+00 NA -0.000000000000000e+00
198 1 4.751511476581087e-01 5.921157353050432e-05 1.000000000000000e+00 NA -0.000000000000000e+00
199 1 4.732963531738499e-01 -4.738314928065535e-05 1.000000000000000e+00 NA -0.000000000000000e+00
200 1 4.804576637572784e-01 -1.580327926387071e-05 1.000000000000000e+00 NA -0.000000000000000e+00
201 1 4.773611387450087e-01 4.878363946936304e-05 1.000000000000000e+00 NA -0.000000000000000e+00
202 1 4.790556005463876e-01 -6.075517643999717e-05 1.000000000000000e+00 NA -0.000000000000000e+00
