i getaccept E*A dH rho ddH Q
240 1 6.827640477244811e-01 4.918135073239682e-05 1.000000000000000e+00 NA -0.000000000000000e+00
241 1 6.793337717253261e-01 7.357380809480674e-06 1.000000000000000e+00 NA -0.000000000000000e+00
242 1 6.772637145830815e-01 2.777594932013017e-05 1.000000000000000e+00 NA -0.000000000000000e+00
243 1 6.830651100645959e-01 -7.579218708997359e-05 1.000000000000000e+00 NA -0.000000000000000e+00
244 1 6.849561817248313e-01 -5.593425044025935e-05 1.000000000000000e+00 NA -0.000000000000000e+00
245 1 6.840640448229298e-01 6.911088553351874e-05 1.000000000000000e+00 NA -0.000000000000000e+00
246 1 6.839421229026483e-01 -2.406256544418284e-05 1.000000000000000e+00 NA -0.000000000000000e+00
247 1 6.679180303515679e-01 7.898327203292865e-05 1.000000000000000e+00 NA -0.000000000000000e+00
248 1 6.745886906294294e-01 -6.099461415942642e-05 1.000000000000000e+00 NA -0.000000000000000e+00
249 1 6.755190628938452e-01 -9.970694009098224e-06 1.000000000000000e+00 NA -0.000000000000000e+00
250 1 6.734444195006348e-01 4.010129828202480e-05 1.000000000000000e+00 NA -0.000000000000000e+00
251 1 6.909291602992254e-01 -1.270449313324207e-04 1.000000000000000e+00 NA -0.000000000000000e+00
252 1 6.752461541502812e-01 9.525523728370899e-05 1.000000000000000e+00 NA -0.000000000000000e+00
253 1 6.655953427820087e-01 5.020368439545564e-05 1.000000000000000e+00 NA -0.000000000000000e+00
254 1 6.789732112178393e-01 -8.273964112959220e-05 1.000000000000000e+00 NA -0.000000000000000e+00
255 1 6.889575493266225e-01 -6.612414176743187e-05 1.000000000000000e+00 NA -0.000000000000000e+00
256 1 6.954407725354272e-01 -1.856476910688798e-05 1.000000000000000e+00 NA -0.000000000000000e+00
257 1 6.878306999292674e-01 5.804743477710872e-05 1.000000000000000e+00 NA -0.000000000000000e+00
258 1 6.919983206510725e-01 -3.329610353830503e-05 1.000000000000000e+00 NA -0.000000000000000e+00
259 1 7.001161306025346e-01 -6.185896381794009e-07 1.000000000000000e+00 NA -0.000000000000000e+00
260 1 7.055130401494748e-01 -1.321610648119531e-05 1.000000000000000e+00 NA -0.000000000000000e+00
261 1 6.946572269223397e-01 5.386633210946457e-05 1.000000000000000e+00 NA -0.000000000000000e+00
262 1 7.027825055711904e-01 -7.345712811002159e-05 1.000000000000000e+00 NA -0.000000000000000e+00
263 1 6.979666667823010e-01 5.153300162419328e-05 1.000000000000000e+00 NA -0.000000000000000e+00
264 1 6.907372416047048e-01 5.775946442554414e-05 1.000000000000000e+00 NA -0.000000000000000e+00
265 1 6.878111033151013e-01 2.728745630520280e-05 1.000000000000000e+00 NA -0.000000000000000e+00
266 1 6.793917883298644e-01 4.535981202025141e-05 1.000000000000000e+00 NA -0.000000000000000e+00
267 1 6.730675250344597e-01 6.386078439390985e-05 1.000000000000000e+00 NA -0.000000000000000e+00
268 1 6.748074201090504e-01 -4.616779915522784e-05 1.000000000000000e+00 NA -0.000000000000000e+00
269 1 6.745444642095726e-01 2.076565351671888e-06 1.000000000000000e+00 NA -0.000000000000000e+00
