i getaccept E*A dH rho ddH Q
209 1 9.414279844815585e-01 8.399153966820450e-04 4.761904761904762e-02 NA -0.000000000000000e+00
210 1 9.434173658121435e-01 -8.929936911954428e-04 5.213270142180094e-02 NA -0.000000000000000e+00
211 1 9.435281743001369e-01 9.193987307298812e-05 5.660377358490566e-02 NA -0.000000000000000e+00
212 1 9.425704689823983e-01 1.641948756514466e-05 6.103286384976526e-02 NA -0.000000000000000e+00
213 1 9.441281084257268e-01 -6.237301995497546e-04 6.542056074766354e-02 NA -0.000000000000000e+00
214 1 9.422820526927304e-01 4.811998355762626e-04 6.976744186046512e-02 NA -0.000000000000000e+00
215 1 9.416371947557955e-01 2.514460979909927e-04 7.407407407407407e-02 NA -0.000000000000000e+00
216 1 9.432749540915661e-01 -4.059447956024087e-04 7.834101382488479e-02 NA -0.000000000000000e+00
217 1 9.440625172996335e-01 -3.974627038587641e-04 8.256880733944955e-02 NA -0.000000000000000e+00
218 1 9.419331795355148e-01 7.923466564534465e-04 8.675799086757990e-02 NA -0.000000000000000e+00
219 1 9.419828840537151e-01 4.107924628442561e-04 9.090909090909091e-02 NA -0.000000000000000e+00
220 1 9.426963988815944e-01 -5.063883863840601e-04 9.502262443438914e-02 NA -0.000000000000000e+00
221 1 9.422055131043954e-01 2.894664949053549e-04 9.909909909909910e-02 NA -0.000000000000000e+00
222 1 9.407940532276254e-01 2.541052158449020e-04 1.031390134529148e-01 NA -0.000000000000000e+00
223 1 9.407774217061160e-01 -2.099035282299155e-04 1.071428571428571e-01 NA -0.000000000000000e+00
224 1 9.409871723339622e-01 -1.018354250845732e-04 1.111111111111111e-01 NA -0.000000000000000e+00
225 1 9.447274401759786e-01 -9.623510168239591e-04 1.150442477876106e-01 NA -0.000000000000000e+00
226 1 9.431648683769095e-01 4.855243628298922e-04 1.189427312775330e-01 NA -0.000000000000000e+00
227 1 9.406097033426857e-01 6.692082647532516e-04 1.228070175438596e-01 NA -0.000000000000000e+00
228 1 9.435073386961946e-01 -9.665010484241066e-04 1.266375545851528e-01 NA -0.000000000000000e+00
229 1 9.422500659800727e-01 4.198413698759396e-04 1.304347826086956e-01 NA -0.000000000000000e+00
230 1 9.440227596118516e-01 -5.758429210800386e-04 1.341991341991342e-01 NA -0.000000000000000e+00
231 1 9.447447557437567e-01 -1.429115013706905e-04 1.379310344827586e-01 NA -0.000000000000000e+00
232 1 9.454512498052783e-01 -1.736473577693687e-04 1.416309012875537e-01 NA -0.000000000000000e+00
233 1 9.444018027368062e-01 3.346235794197128e-04 1.452991452991453e-01 NA -0.000000000000000e+00
234 1 9.445507757301379e-01 -5.937147125223419e-05 1.489361702127660e-01 NA -0.000000000000000e+00
235 1 9.435878259684759e-01 2.252555041195592e-04 1.525423728813559e-01 NA -0.000000000000000e+00
236 1 9.435264637776452e-01 5.879380205442430e-05 1.561181434599156e-01 NA -0.000000000000000e+00
237 1 9.432206747029636e-01 1.877217182482127e-04 1.596638655462185e-01 NA -0.000000000000000e+00
238 1 9.433407150557189e-01 -1.903178917928017e-04 1.631799163179916e-01 NA -0.000000000000000e+00
239 1 9.409710108419680e-01 6.106798518885626e-04 1.666666666666667e-01 NA -0.000000000000000e+00
240 1 9.431530541351356e-01 -5.411677761912870e-04 1.701244813278008e-01 NA -0.000000000000000e+00
241 1 9.443774776464205e-01 -3.452935716268257e-04 1.735537190082645e-01 NA -0.000000000000000e+00
242 1 9.425626383937582e-01 6.266008886086638e-04 1.769547325102881e-01 NA -0.000000000000000e+00
243 1 9.437045200656469e-01 -4.327381698203681e-04 1.803278688524590e-01 NA -0.000000000000000e+00
244 1 9.428014977724537e-01 1.549750136291550e-04 1.836734693877551e-01 NA -0.000000000000000e+00
245 1 9.440109210321364e-01 -2.975615793729958e-04 1.869918699186992e-01 NA -0.000000000000000e+00
246 1 9.438128084037125e-01 -1.475996482440678e-04 1.902834008097166e-01 NA -0.000000000000000e+00
247 1 9.434681524448603e-01 1.958177449523646e-04 1.935483870967742e-01 NA -0.000000000000000e+00
